generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,0.34,0.036533333333333334,0.0,0.0,0.10393793019554186
1,0.34,0.33226666666666665,0.3333333333333333,0.31333333333333335,0.0058666666666666615
2,0.34,0.33453333333333346,0.3333333333333333,0.3333333333333333,0.0025612496949731565
3,0.34,0.33540000000000014,0.3333333333333333,0.3333333333333333,0.0030832882879592675
4,0.34,0.33746666666666686,0.34,0.3333333333333333,0.0032359096265364463
5,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
6,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
7,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
8,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
9,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
10,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
11,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
12,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
13,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
14,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
15,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
16,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
17,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
18,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
19,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
20,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
21,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
22,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
23,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
24,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
25,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
26,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
27,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
28,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
29,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
30,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
31,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
32,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
33,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
34,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
35,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
36,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
37,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
38,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
39,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
40,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
41,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
42,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
43,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
44,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
45,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
46,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
47,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
48,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
49,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
50,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
51,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
52,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
53,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
54,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
55,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
56,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
57,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
58,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
59,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
60,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
61,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
62,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
63,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
64,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
65,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
66,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
67,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
68,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
69,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
70,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
71,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
72,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
73,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
74,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
75,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
76,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
77,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
78,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
79,0.34,0.3400000000000001,0.34,0.34,5.551115123125783e-17
