Generation,Max Fitness,Mean Fitness,Median Fitness,Min Fitness
0,0.3333333333333333,0.0466,0.0,0.0
1,0.34,0.3334000000000001,0.3333333333333333,0.32666666666666666
2,0.34,0.3331333333333334,0.3333333333333333,0.32666666666666666
3,0.34,0.33000000000000007,0.3333333333333333,0.0
4,0.34,0.33340000000000003,0.3333333333333333,0.32666666666666666
5,0.34,0.3298666666666667,0.3333333333333333,0.0
6,0.34,0.3299333333333334,0.3333333333333333,0.0
7,0.34,0.32686666666666675,0.3333333333333333,0.0
8,0.34,0.3333333333333334,0.3333333333333333,0.32666666666666666
9,0.34,0.3333333333333334,0.3333333333333333,0.32666666666666666
10,0.34,0.3302000000000001,0.3333333333333333,0.0
11,0.34,0.3333333333333334,0.3333333333333333,0.32666666666666666
12,0.34,0.33000000000000007,0.3333333333333333,0.0
13,0.34,0.3331333333333334,0.3333333333333333,0.32666666666666666
14,0.34,0.33000000000000007,0.3333333333333333,0.0
15,0.34,0.3331333333333334,0.3333333333333333,0.32666666666666666
16,0.34,0.33326666666666677,0.3333333333333333,0.32666666666666666
17,0.34,0.3334000000000001,0.3333333333333333,0.32666666666666666
18,0.34,0.3335333333333334,0.3333333333333333,0.32666666666666666
19,0.34,0.32960000000000006,0.3333333333333333,0.0
20,0.34,0.3334000000000001,0.3333333333333333,0.32666666666666666
21,0.34,0.33360000000000006,0.3333333333333333,0.32666666666666666
22,0.34,0.33340000000000003,0.3333333333333333,0.32666666666666666
23,0.34,0.33340000000000003,0.3333333333333333,0.32666666666666666
24,0.34,0.3306,0.3333333333333333,0.0
25,0.34,0.3271333333333334,0.3333333333333333,0.0
26,0.34,0.32660000000000006,0.3333333333333333,0.0
27,0.34,0.3334666666666667,0.3333333333333333,0.32666666666666666
28,0.34,0.3305333333333334,0.3333333333333333,0.0
29,0.34,0.3299333333333334,0.3333333333333333,0.0
30,0.34,0.3328666666666667,0.3333333333333333,0.32666666666666666
31,0.34,0.33293333333333336,0.3333333333333333,0.32666666666666666
32,0.34,0.3334000000000001,0.3333333333333333,0.32666666666666666
33,0.34,0.3333333333333334,0.3333333333333333,0.32666666666666666
34,0.34,0.33000000000000007,0.3333333333333333,0.0
35,0.3333333333333333,0.33320000000000005,0.3333333333333333,0.32666666666666666
36,0.3333333333333333,0.3331333333333334,0.3333333333333333,0.32666666666666666
