Generation,max_fitness,mean_fitness,median_fitness,min_fitness,std_fitness
0,0.3466666666666667,0.039333333333333324,0.0,0.0,0.1068602410212101
1,0.62,0.21026666666666663,0.3333333333333333,0.0,0.1643503574684278
2,0.62,0.2993333333333334,0.3333333333333333,0.0,0.10928657536749678
3,0.62,0.2876000000000001,0.3333333333333333,0.0,0.12415409779785765
4,0.62,0.29180000000000006,0.3333333333333333,0.0,0.121178857708577
5,0.62,0.29640000000000005,0.3333333333333333,0.0,0.1195451379186958
6,0.62,0.3034666666666668,0.3333333333333333,0.0,0.11181524443871188
7,0.64,0.3092666666666667,0.34,0.0,0.12121200893934198
8,0.64,0.3382,0.34,0.0,0.09506888730459263
9,0.64,0.34480000000000005,0.3466666666666667,0.0,0.11073523979896072
10,0.64,0.35086666666666666,0.3466666666666667,0.0,0.12430305261291408
11,0.6666666666666666,0.3578,0.3466666666666667,0.0,0.15515169637773507
12,0.6666666666666666,0.4268,0.3766666666666667,0.0,0.12330623125644001
13,0.72,0.48200000000000004,0.48,0.0,0.11603639275867053
14,0.72,0.49553333333333327,0.5266666666666666,0.0,0.16341101554056878
15,0.72,0.5155333333333333,0.5633333333333334,0.0,0.15710167974206315
16,0.72,0.5418,0.6033333333333333,0.0,0.15399813851688815
17,0.72,0.5643333333333334,0.6333333333333333,0.0,0.1498958897961441
18,0.72,0.5582666666666667,0.6466666666666666,0.0,0.175267719028158
19,0.72,0.5507333333333333,0.6533333333333333,0.0,0.18540021574960475
20,0.8333333333333334,0.5966,0.6633333333333333,0.0,0.13956279351364867
21,0.8333333333333334,0.5919333333333333,0.6666666666666666,0.0,0.14824093002046812
22,0.8333333333333334,0.6114,0.6666666666666666,0.0,0.14144428035252768
23,0.8333333333333334,0.5876666666666667,0.6666666666666666,0.0,0.18236806494315586
24,0.8333333333333334,0.5857999999999999,0.6666666666666666,0.0,0.16818681412181052
25,0.8333333333333334,0.6190666666666668,0.6666666666666666,0.0,0.12791670901193652
26,0.8733333333333333,0.5942666666666667,0.6666666666666666,0.0,0.1939278674605013
27,0.88,0.5882000000000001,0.6666666666666666,0.0,0.19686849530700548
28,0.88,0.5814,0.6666666666666666,0.0,0.19611174818908164
29,0.88,0.5780000000000001,0.6666666666666666,0.0,0.23237995706266157
30,0.9,0.5737333333333333,0.6666666666666666,0.0,0.2451572193964971
